# ISO C -- header files
<assert.h>   プログラムアサーションの確認 
<complex.h>  複素数演算
<ctype.h>    文字クラス分類とマッピング 
<errno.h>    エラーコード
<fenv.h>     浮動小数点環境
<float.h>    浮動小数点の定数と特性
<inttypes.h> 整数型の形式変換
<iso646.h>   代入／比較／単項演算マクロ
<limits.h>   実装上の定数
<locale.h>   ローケルカテゴリと関連定義
<math.h>     数学関連、型／定数の定義
<setjmp.h>   非ローカルゴートゥー
<signal.h>   シグナル
<stdarg.h>   可変引数リスト 
<stdbool.h>  ブーリアン型と値
<stddef.h>   標準定義
<stdint.h>   整数型
<stdio.h>    標準入出力ライブラリ
<stdlib.h>   ユーティリティ関数
<string.h>   文字列演算
<tgmath.h>   汎用数学マクロ
<time.h>     時間と日付
<wchar.h>    拡張マルチバイト／ワイド文字対応
<wctype.h>   ワイド文字のクラス分類とマッピング

# POSIX -- header files
<aio.h>         非同期入出力 
<cpio.h>        cpioアーカイブ関連の値
<dirent.h>      ディレクトリエントリ
<dlfcn.h>       動的リンキング
<fcntl.h>       ファイル制御
<fnmatch.h>     ファイル名マッチ型
<glob.h>        パス名のパターンマッチと生成
<grp.h>         グループファイル
<iconv.h>       コードセット変換ユーティリティ
<langinfo.h>    言語情報定数
<monetary.h>    通過型と関数群
<netdb.h>       ネットワークデータベース操作
<nl_types>      メッセージカタログ
<poll.h>        ポーリング関数
<pthread.h>     スレッド
<pwd.h>         パスワードファイル
<regex.h>       正規表現
<sched.h>       実行スケジューリング
<semaphore.h>   セマフォ
<strings.h>     文字列操作
<tar.h>         tarアーカイブ関連の値
<termios.h>     端末入出力
<unistd.h>      シンボル定数
<wordexp.h>     ワード展開定義
<arpa/inet.h>   インターネット定義
<net/if.h>      ソケットローカルインターフェイス
<netinet/in.h>  インターネットアドレスファミリ
<netinet/tcp.h> TCP定義
<sys/mman.h>    メモリ管理
<sys/select.h>  関数select
<sys/socket.h>  ソケットインターフェイス
<sys/stat.h>    ファイルの属性
<sys/statvfs.h> ファイルシステム情報
<sys/times.h>   プロセス時間
<sys/types.h>   基本システムデータ型
<sys/un.h>      UNIXドメインソケットの定義
<sys/utsname.h> システム名称
<sys/wait.h>    プロセス制御

# POSIX - option header files
<fmtmsg.h>        メッセージ表示構造  
<ftw.h>           ファイル木構造の探索
<libgen.h>        パス名管理関数
<ndbm.h>          データベース操作
<search.h>        表の検索
<syslog.h>        システムエラーログ
<utmpx.h>         ユーザアカウントデータベース
<sys/ipc.h>       IPC
<sys/msg.h>       XSIメッセージキュー
<sys/resource.h>  資源操作
<sys/sem.h>       XSIセマフォ
<sys/shm.h>       XSI共有メモリ
<sys/time.h>      時間の型
<sys/uio.h>       ベクトル入出力操作

<mqueue.h>        メッセージキュー
<spawn.h>         リアルタイムスポーンインターフェイス
